scenario,target,profile,method,confidence_level,center_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,center_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,center_coverage_error,q25_coverage_error,q75_coverage_error,n_seeds,n_replicates
logistic_glm,beta_0,P1,naive_ml,0.9,0.895,0.895,0.895,0.007166864427847399,0.007166864427847399,0.007166864427847399,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1,200
logistic_glm,beta_0,P1,naive_ml,0.95,0.96,0.96,0.96,0.007166864427847404,0.007166864427847404,0.007166864427847404,0.010000000000000009,0.010000000000000009,0.010000000000000009,1,200
logistic_glm,beta_0,P1,naive_ml,0.975,0.98,0.98,0.98,0.0071668644278474036,0.0071668644278474036,0.0071668644278474036,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,1,200
logistic_glm,beta_0,P1,ppi,0.9,0.9,0.9,0.9,1.010544504474222,1.010544504474222,1.010544504474222,0.0,0.0,0.0,1,200
logistic_glm,beta_0,P1,ppi,0.95,0.975,0.975,0.975,1.0105445044742238,1.0105445044742238,1.0105445044742238,0.025000000000000022,0.025000000000000022,0.025000000000000022,1,200
logistic_glm,beta_0,P1,ppi,0.975,0.99,0.99,0.99,1.010544504474222,1.010544504474222,1.010544504474222,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
logistic_glm,beta_0,P1,ppi_plus_plus,0.9,0.885,0.885,0.885,0.9682467835897862,0.9682467835897862,0.9682467835897862,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,1,200
logistic_glm,beta_0,P1,ppi_plus_plus,0.95,0.945,0.945,0.945,0.9682467835897863,0.9682467835897863,0.9682467835897863,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1,200
logistic_glm,beta_0,P1,ppi_plus_plus,0.975,0.98,0.98,0.98,0.9682467835897863,0.9682467835897863,0.9682467835897863,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,1,200
logistic_glm,beta_0,P2,naive_ml,0.9,0.0,0.0,0.0,0.003701691704247196,0.003701691704247196,0.003701691704247196,-0.9,-0.9,-0.9,1,200
logistic_glm,beta_0,P2,naive_ml,0.95,0.0,0.0,0.0,0.0037016917042471996,0.0037016917042471996,0.0037016917042471996,-0.95,-0.95,-0.95,1,200
logistic_glm,beta_0,P2,naive_ml,0.975,0.0,0.0,0.0,0.0037016917042471983,0.0037016917042471983,0.0037016917042471983,-0.975,-0.975,-0.975,1,200
logistic_glm,beta_0,P2,ppi,0.9,0.9,0.9,0.9,1.0127598170392509,1.0127598170392509,1.0127598170392509,0.0,0.0,0.0,1,200
logistic_glm,beta_0,P2,ppi,0.95,0.955,0.955,0.955,1.0127598170392522,1.0127598170392522,1.0127598170392522,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,1,200
logistic_glm,beta_0,P2,ppi,0.975,0.99,0.99,0.99,1.0127598170392516,1.0127598170392516,1.0127598170392516,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
logistic_glm,beta_0,P2,ppi_plus_plus,0.9,0.88,0.88,0.88,0.973388635798354,0.973388635798354,0.973388635798354,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,1,200
logistic_glm,beta_0,P2,ppi_plus_plus,0.95,0.94,0.94,0.94,0.973388635798355,0.973388635798355,0.973388635798355,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,1,200
