seed,scenario,target,profile,method,confidence_level,n_labeled,n_unlabeled,n_replicates,average_ci_width,empirical_coverage
0,logistic_glm,beta_0,P1,naive_ml,0.9,60,600,2000,0.009499544884157421,0.8765
0,logistic_glm,beta_0,P1,ppi,0.9,60,600,2000,1.3333965603759004,0.9265
0,logistic_glm,beta_0,P1,ppi_plus_plus,0.9,60,600,2000,1.276379618606016,0.9085
0,logistic_glm,beta_0,P2,naive_ml,0.9,60,600,2000,0.004896705916911979,0.0
0,logistic_glm,beta_0,P2,ppi,0.9,60,600,2000,1.3357774089416246,0.924
0,logistic_glm,beta_0,P2,ppi_plus_plus,0.9,60,600,2000,1.2827099385187628,0.9085
0,logistic_glm,beta_0,P3,naive_ml,0.9,60,600,2000,0.0028158673499703566,0.0
0,logistic_glm,beta_0,P3,ppi,0.9,60,600,2000,1.3432655114462768,0.923
0,logistic_glm,beta_0,P3,ppi_plus_plus,0.9,60,600,2000,1.2780164846841096,0.9065
0,logistic_glm,beta_0,P4,naive_ml,0.9,60,600,2000,0.0950300510659213,0.877
0,logistic_glm,beta_0,P4,ppi,0.9,60,600,2000,1.386961642095735,0.932
0,logistic_glm,beta_0,P4,ppi_plus_plus,0.9,60,600,2000,1.2835704953776987,0.9105
0,logistic_glm,beta_0,baseline,classic,0.9,60,600,2000,1.3182137251536048,0.9055
0,logistic_glm,beta_0,P1,naive_ml,0.95,60,600,2000,0.011319405895695297,0.937
0,logistic_glm,beta_0,P1,ppi,0.95,60,600,2000,1.5888399992709228,0.973
0,logistic_glm,beta_0,P1,ppi_plus_plus,0.95,60,600,2000,1.5209001227089551,0.959
0,logistic_glm,beta_0,P2,naive_ml,0.95,60,600,2000,0.005834784981943452,0.0
0,logistic_glm,beta_0,P2,ppi,0.95,60,600,2000,1.5916769553167371,0.9715
0,logistic_glm,beta_0,P2,ppi_plus_plus,0.95,60,600,2000,1.528443164129969,0.9595
0,logistic_glm,beta_0,P3,naive_ml,0.95,60,600,2000,0.0033553128988218356,0.0
0,logistic_glm,beta_0,P3,ppi,0.95,60,600,2000,1.6005995797868904,0.976
0,logistic_glm,beta_0,P3,ppi_plus_plus,0.95,60,600,2000,1.5228505689419871,0.96
0,logistic_glm,beta_0,P4,naive_ml,0.95,60,600,2000,0.1132352900503427,0.9375
0,logistic_glm,beta_0,P4,ppi,0.95,60,600,2000,1.6526667308898357,0.976
0,logistic_glm,beta_0,P4,ppi_plus_plus,0.95,60,600,2000,1.5294685808737616,0.961
0,logistic_glm,beta_0,baseline,classic,0.95,60,600,2000,1.570748535245604,0.9575
