experiment,target,parameter,learner,learner_label,learner_model,quality_metric,method,method_label,confidence_level,coverage,avg_width,sd_ci_low,sd_ci_high,quality_value_mean,quality_value_sd,relative_width_rep_mean,relative_width_rep_sd,relative_width_rep_median,relative_width_rep_q25,relative_width_rep_q75,median_lambda,n_success,coverage_error,n_failed,classic_avg_width,relative_width
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,cross_ppi,Cross-PPI,0.9,0.9,52.184982080059626,17.743742499357314,18.643936023416167,4424752303.865795,188846934.11819887,0.8470722732472268,0.009598464089442963,0.8470351382774783,0.8415472596327018,0.8539059636742135,,20,0.0,0,61.600694055270935,0.8471492550593163
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,cross_ppi,Cross-PPI,0.95,0.95,62.18224146810515,17.66228950154443,18.73466293538938,4424752303.865795,188846934.11819887,0.8470722732472267,0.009598464089442954,0.8470351382774794,0.8415472596327028,0.8539059636742141,,20,0.0,0,73.40175429151647,0.8471492550593163
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,cross_ppi,Cross-PPI,0.975,1.0,71.11122792794973,17.590287126676778,18.816321503698724,4424752303.865795,188846934.11819887,0.8470722732472268,0.009598464089442907,0.8470351382774787,0.8415472596327029,0.853905963674213,,20,0.025000000000000022,0,83.94179361341776,0.8471492550593163
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,naive_ml,Naive ML,0.9,0.05,12.40900206150557,52.07966461333494,52.42979540552883,4424752303.865795,188846934.11819887,0.20145595903884322,0.010654963974727365,0.20129628696825091,0.19176784418179563,0.2069928496682117,,20,-0.85,0,61.600694055270935,0.20144256898098664
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,naive_ml,Naive ML,0.95,0.05,14.786237952194245,52.0465040684321,52.46370763933429,4424752303.865795,188846934.11819887,0.20145595903884325,0.010654963974727327,0.2012962869682508,0.19176784418179424,0.2069928496682109,,20,-0.8999999999999999,0,73.40175429151647,0.20144256898098672
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,naive_ml,Naive ML,0.975,0.05,16.90945055035867,52.01694315927218,52.49405101836824,4424752303.865795,188846934.11819887,0.20145595903884345,0.010654963974727608,0.2012962869682508,0.19176784418179466,0.2069928496682117,,20,-0.9249999999999999,0,83.94179361341776,0.20144256898098686
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,ppi,PPI,0.9,0.9,59.464077078694366,18.728118134333627,19.783963091383065,4424752303.865795,188846934.11819887,0.9652832541184537,0.02199492277697534,0.9651864141052658,0.955815761397035,0.9783906358087271,,20,0.0,0,61.600694055270935,0.9653150502710327
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,ppi,PPI,0.95,1.0,70.85581813389723,18.63540303046049,19.892987332648705,4424752303.865795,188846934.11819887,0.965283254118454,0.02199492277697532,0.965186414105266,0.9558157613970368,0.9783906358087283,,20,0.050000000000000044,0,73.40175429151647,0.9653150502710329
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,ppi,PPI,0.975,1.0,81.03027672177704,18.55391938678165,19.99145148119585,4424752303.865795,188846934.11819887,0.965283254118454,0.021994922776975435,0.965186414105266,0.9558157613970372,0.9783906358087269,,20,0.025000000000000022,0,83.94179361341776,0.965315050271033
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,ppi_plus_plus_v1,PPI++V1,0.9,0.95,58.81037669978859,17.746629285959003,18.570129490231274,4424752303.865795,188846934.11819887,0.954691794870325,0.020262058408588444,0.9562467530866835,0.9427716746106354,0.9695917616658659,0.8021210924275831,20,0.04999999999999993,0,61.600694055270935,0.9547031506986148
